City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Kruisfontein,ZA,2021-11-02 03:55:38,-34.0033,24.7314,57.88,80,77,16.04,broken clouds
60,Samarai,PG,2021-11-02 03:55:38,-10.6167,150.6667,83.48,72,73,14.92,broken clouds
61,Qaqortoq,GL,2021-11-02 03:55:39,60.7167,-46.0333,33.24,71,100,5.86,overcast clouds
62,Lebu,CL,2021-11-02 03:55:39,-37.6167,-73.65,48.49,90,4,4.65,clear sky
63,Kudahuvadhoo,MV,2021-11-02 03:55:40,2.6708,72.8944,82.69,75,69,16.33,broken clouds
64,Bengkulu,ID,2021-11-02 03:55:40,-3.8004,102.2655,80.2,83,95,2.98,overcast clouds
65,San Patricio,US,2021-11-02 03:55:40,28.017,-97.5169,76.84,71,0,7.27,clear sky
66,Tasiilaq,GL,2021-11-02 03:55:41,65.6145,-37.6368,20.86,70,100,5.37,overcast clouds
67,Vaini,TO,2021-11-02 03:55:42,-21.2,-175.2,82.56,83,75,9.22,broken clouds
68,Havoysund,NO,2021-11-02 03:55:42,70.9963,24.6622,45.48,80,100,28.48,overcast clouds
69,Bambous Virieux,MU,2021-11-02 03:55:42,-20.3428,57.7575,78.22,83,40,8.05,scattered clouds
70,Luanda,AO,2021-11-02 03:55:43,-8.8368,13.2343,75.2,83,75,4.61,broken clouds
71,Toora-Khem,RU,2021-11-02 03:55:43,52.4675,96.11,28.54,55,100,3.67,overcast clouds
72,Hithadhoo,MV,2021-11-02 03:55:44,-0.6,73.0833,83.34,72,83,16.98,broken clouds
73,Bloomfield,US,2021-11-02 03:55:02,40.8068,-74.1854,53.67,70,1,0.0,clear sky
74,Faanui,PF,2021-11-02 03:55:44,-16.4833,-151.75,79.66,81,35,13.98,light rain
75,Severo-Kurilsk,RU,2021-11-02 03:53:58,50.6789,156.125,37.54,58,90,16.13,overcast clouds
76,Chuy,UY,2021-11-02 03:55:45,-33.6971,-53.4616,63.93,97,98,8.88,overcast clouds
77,Saskylakh,RU,2021-11-02 03:55:45,71.9167,114.0833,-12.78,100,99,3.4,overcast clouds
78,Cabo San Lucas,MX,2021-11-02 03:55:46,22.8909,-109.9124,77.61,74,1,7.23,clear sky
79,Xam Nua,LA,2021-11-02 03:55:46,20.4197,104.0439,67.44,99,100,2.04,overcast clouds
80,Zacualtipan,MX,2021-11-02 03:55:47,20.65,-98.6,53.51,95,29,1.59,scattered clouds
81,Kinablangan,PH,2021-11-02 03:55:47,7.6947,126.5503,83.39,75,99,6.22,overcast clouds
82,Pangnirtung,CA,2021-11-02 03:55:47,66.1451,-65.7125,16.77,74,83,6.87,broken clouds
83,Karaman,TR,2021-11-02 03:55:48,37.0833,33.25,50.81,94,100,10.11,moderate rain
84,Talnakh,RU,2021-11-02 03:55:48,69.4865,88.3972,0.0,92,100,11.41,overcast clouds
85,Santa Isabel Do Rio Negro,BR,2021-11-02 03:55:49,-0.4139,-65.0192,73.45,97,87,2.06,overcast clouds
86,Fundao,BR,2021-11-02 03:55:49,-19.9341,-40.4047,72.93,100,100,0.92,overcast clouds
87,Barrow,US,2021-11-02 03:55:50,71.2906,-156.7887,15.03,90,74,10.29,broken clouds
88,Narsaq,GL,2021-11-02 03:55:50,60.9167,-46.05,32.58,75,100,6.22,overcast clouds
89,Leshukonskoye,RU,2021-11-02 03:55:50,64.8989,45.7622,23.81,83,99,9.06,overcast clouds
90,Mataura,NZ,2021-11-02 03:55:51,-46.1927,168.8643,53.47,46,95,8.46,overcast clouds
91,The Valley,AI,2021-11-02 03:55:51,18.217,-63.0578,81.1,69,2,14.72,clear sky
92,Salalah,OM,2021-11-02 03:55:52,17.0151,54.0924,81.55,38,46,1.07,scattered clouds
93,Sabang,ID,2021-11-02 03:55:52,5.8933,95.3214,81.7,74,80,2.68,broken clouds
94,Ovalle,CL,2021-11-02 03:55:53,-30.5983,-71.2003,59.68,76,79,1.48,broken clouds
95,Yinchuan,CN,2021-11-02 03:53:36,38.4681,106.2731,51.03,34,1,3.85,clear sky
96,Manokwari,ID,2021-11-02 03:55:53,-0.8667,134.0833,76.46,91,100,7.54,overcast clouds
97,Kyra,RU,2021-11-02 03:55:54,49.5776,111.9753,39.25,41,52,12.44,broken clouds
