City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Trinidad,BO,73.8,overcast clouds,-14.8333,-64.9,Hotel Piesta
198,Biak,ID,82.26,moderate rain,-0.9131,122.8766,Penginapan Kim
199,Sakakah,SA,74.8,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
202,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
221,Tabou,CI,76.35,light rain,4.423,-7.3528,hotêl doufoulougou
232,Pocao De Pedras,BR,81.5,clear sky,-4.6667,-44.85,Hotel Magazine
234,Tual,ID,84.11,light rain,-5.6667,132.75,Grand Vilia Hotel
240,Hobyo,SO,77.52,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
244,Port-Gentil,GA,75.54,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
245,Axim,GH,76.37,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
248,Anjad,IN,74.25,clear sky,22.0333,75.05,Hotel Shanti & Restaurant
249,Camalu,MX,73.18,few clouds,30.85,-116.0667,La Cueva del Pirata
251,Labuhan,ID,81.52,moderate rain,-6.8844,112.2051,DoubleFAG
254,Martapura,ID,77.52,light rain,-3.4167,114.85,Montana Hotel Syariah
255,Vaitape,PF,77.49,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
260,Kudahuvadhoo,MV,80.6,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
269,Umm Lajj,SA,80.19,clear sky,25.0213,37.2685,Moon light Furnished Units
271,Namatanai,PG,85.69,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
276,Ahuimanu,US,84.61,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
279,Manggar,ID,77.72,overcast clouds,-2.8833,108.2667,Guest Hotel
282,Sibolga,ID,78.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
286,Bacolod,PH,83.53,broken clouds,10.6667,122.95,Planta Hotel & Residences
289,Laguna,US,84.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
293,Qui Nhon,VN,78.21,overcast clouds,13.7667,109.2333,Seagull Hotel
294,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
298,Yenagoa,NG,75.52,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
301,Pacifica,US,81.14,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
305,Himensulan,PH,83.03,overcast clouds,10.5967,124.2821,Mangodlong Paradise Beach Resort
310,Palauig,PH,83.19,overcast clouds,15.435,119.9045,Villa Raphael Resort
312,Bengkulu,ID,77.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
314,Mankono,CI,72.14,light rain,8.0586,-6.1897,Hôtel cotonputeur
318,Kalemie,CD,72.45,overcast clouds,-5.9475,29.1947,Mahobilali
321,Paragominas,BR,76.46,broken clouds,-2.9667,-47.4833,INOVA
331,Samarai,PG,84.47,scattered clouds,-10.6167,150.6667,Nuli Sapi
332,Davila,PH,78.58,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
333,Patos De Minas,BR,77.7,overcast clouds,-18.5789,-46.5181,Gálatas Central Hotel
339,Rock Sound,BS,82.85,few clouds,24.9,-76.2,Pink Corral Bay Property
342,Jablah,SY,70.48,clear sky,35.3614,35.9256,ملهى ليلي
344,Ouahigouya,BF,83.59,clear sky,13.5828,-2.4216,Hotel Liberte
354,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
360,Lastoursville,GA,71.58,moderate rain,-0.8143,12.7287,Auberge Bon Coin 02
364,Marsh Harbour,BS,80.55,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
365,Caravelas,BR,74.7,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
